customer_id,subscription_id,signup_month,billing_month,signup_month_start,billing_month_start,pricing_tier,monthly_price,subscription_status,revenue_change_type,country,company_size
C001,S001,2023-06,2023-06,June,June,Basic,100,Active,New,UK,Small
C001,S001,2023-06,2023-07,June,July,Basic,100,Active,No Change,UK,Small
C001,S001,2023-06,2023-08,June,August,Basic,100,Active,No Change,UK,Small
C001,S001,2023-06,2023-09,June,September,Basic,100,Active,No Change,UK,Small
C001,S001,2023-06,2023-10,June,October,Basic,100,Active,No Change,UK,Small
C001,S001,2023-06,2023-11,June,November,Basic,100,Active,No Change,UK,Small
C001,S001,2023-06,2023-12,June,December,Pro,250,Active,Expansion,UK,Small
C001,S001,2023-06,2024-01,June,January,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-02,June,February,Pro,250,Active,Expansion,UK,Small
C001,S001,2023-06,2024-03,June,March,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-04,June,April,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-05,June,May,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-06,June,June,Pro,250,Active,Expansion,UK,Small
C001,S001,2023-06,2024-07,June,July,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-08,June,August,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-09,June,September,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-10,June,October,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-11,June,November,Pro,250,Active,No Change,UK,Small
C001,S001,2023-06,2024-12,June,December,Pro,250,Active,No Change,UK,Small
C002,S002,2023-05,2023-05,May,May,Basic,100,Active,New,Germany,Small
C002,S002,2023-05,2023-06,May,June,Basic,100,Active,No Change,Germany,Small
C002,S002,2023-05,2023-07,May,July,Basic,100,Active,No Change,Germany,Small
C002,S002,2023-05,2023-08,May,August,Pro,250,Active,Expansion,Germany,Small
C002,S002,2023-05,2023-09,May,September,Pro,250,Active,No Change,Germany,Small
C002,S002,2023-05,2023-10,May,October,Pro,250,Active,Expansion,Germany,Small
C002,S002,2023-05,2023-11,May,November,Pro,250,Active,No Change,Germany,Small
